"LG";"ORT";"WKREISE";"POLITIKER";"LATITUDE";"LONGITUDE"
"GermanZero PG Key Account Team";"GermanZero PG Key Account Team";"106: Düsseldorf I,191: Jena - Sömmerda - Weimarer Land I,220: München-West/Mitte,273: Rastatt,282: Lörrach - Müllheim,47: Hannover-Land II,51: Helmstedt - Wolfsburg,7: Pinneberg";"MDB (CDU/CSU),MDB (FDP),MDB (GRÜNE),MDB (SPD)";"0E-10";"0E-10"
"Lokalgruppe PG Berlin";"Berlin";"75: Berlin-Mitte,76: Berlin-Pankow,79: Berlin-Steglitz-Zehlendorf,80: Berlin-Charlottenburg-Wilmersdorf,84: Berlin-Treptow-Köpenick,85: Berlin-Marzahn-Hellersdorf,86: Berlin-Lichtenberg";"Kandidat (SPD),Kandidatin (GRÜNE),Kandidatin (SPD),MDB (CDU/CSU),MDB (DIE LINKE),MDB (GRÜNE)";"52.5170365000";"13.3888599000"
"Lokalgruppe PG Bielefeld - Minden";"Bielefeld - Minden";"134: Minden-Lübbecke I";"MDB (SPD)";"52.0230269000";"8.5364016349"
"Lokalgruppe PG Bonn";"Bonn";"140: Bochum I,96: Bonn,97: Rhein-Sieg-Kreis I,98: Rhein-Sieg-Kreis II";"MDB (CDU/CSU),MDB (DIE LINKE),MDB (FDP)";"50.7358510000";"7.1006600000"
"Lokalgruppe PG Frankfurt am Main";"Frankfurt am Main";"175: Main-Kinzig - Wetterau II - Schotten,177: Wetterau I,181: Main-Taunus,182: Frankfurt am Main I,183: Frankfurt am Main II,185: Offenbach";"Kandidatin (SPD),MDB (CDU/CSU),MDB (FDP),MDB (GRÜNE),MDB (SPD)";"50.1106444000";"8.6820917000"
"Lokalgruppe PG Freiburg";"Freiburg";"288: Waldshut";"MDB (CDU/CSU)";"47.9960901000";"7.8494005000"
"Lokalgruppe PG Hamburg";"Hamburg";"19: Hamburg-Altona,20: Hamburg-Eimsbüttel,21: Hamburg-Nord,22: Hamburg-Wandsbek";"MDB (CDU/CSU),MDB (DIE LINKE),MDB (FDP),MDB (GRÜNE),MDB (SPD)";"53.5503410000";"10.0006540000"
"Lokalgruppe PG Hannover";"Hannover";"42: Stadt Hannover II,48: Hildesheim";"MDB (GRÜNE),MDB (SPD)";"52.3744779000";"9.7385532000"
"Lokalgruppe PG Karlsruhe";"Karlsruhe";"271: Karlsruhe-Stadt";"Kandidatin (GRÜNE)";"49.0068705000";"8.4034195000"
"Lokalgruppe PG Leipzig";"Leipzig";"152: Leipzig I,153: Leipzig II";"MDB (CDU/CSU),MDB (DIE LINKE)";"51.3406321000";"12.3747329000"
"Lokalgruppe PG Marburg";"Marburg";"170: Schwalm-Eder,171: Marburg,172: Lahn-Dill";"MDB (CDU/CSU),MDB (GRÜNE),MDB (SPD)";"50.8117327000";"8.7757742000"
"Lokalgruppe PG München";"München";"217: München-Nord,220: München-West/Mitte,224: Starnberg - Landsberg am Lech";"MDB (CDU/CSU),MDB (GRÜNE)";"48.1371079000";"11.5753822000"
"Lokalgruppe PG Nürnberg";"Nürnberg";"242: Erlangen";"MDB (CDU/CSU),MDB (SPD)";"49.4538720000";"11.0772980000"
"Lokalgruppe PG Stuttgart";"Stuttgart";"258: Stuttgart I";"Kandidatin (SPD),MDB (CDU/CSU),MDB (FDP),MDB (SPD)";"48.7784485000";"9.1800132000"
"Lokalgruppe PG Tübingen";"Tübingen";"290: Tübingen";"MDB (CDU/CSU),MDB (DIE LINKE),MDB (GRÜNE),MDB (SPD)";"48.5236164000";"9.0535531000"
